,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
5217,都営大江戸線 落合南長崎駅 9階建 新築,賃貸マンション,東京都新宿区西落合１,都営大江戸線/落合南長崎駅 歩1分,西武新宿線/下落合駅 歩15分,西武池袋線/椎名町駅 歩15分,新築,9階建,4階,8.9万円,12000円,-/-/-/-,1K,26.1m
5218,都営大江戸線 落合南長崎駅 9階建 新築,賃貸マンション,東京都新宿区西落合１,都営大江戸線/落合南長崎駅 歩1分,西武新宿線/下落合駅 歩15分,西武池袋線/椎名町駅 歩15分,新築,9階建,5階,8.95万円,12000円,-/-/-/-,1K,26.1m
5219,都営大江戸線 落合南長崎駅 9階建 新築,賃貸マンション,東京都新宿区西落合１,都営大江戸線/落合南長崎駅 歩1分,西武新宿線/下落合駅 歩15分,西武池袋線/椎名町駅 歩15分,新築,9階建,6階,9万円,12000円,-/-/-/-,1K,26.1m
5220,都営大江戸線 落合南長崎駅 9階建 新築,賃貸マンション,東京都新宿区西落合１,都営大江戸線/落合南長崎駅 歩1分,西武新宿線/下落合駅 歩15分,西武池袋線/椎名町駅 歩15分,新築,9階建,6階,9万円,12000円,-/-/-/-,1K,26.1m
5221,都営大江戸線 落合南長崎駅 9階建 新築,賃貸マンション,東京都新宿区西落合１,都営大江戸線/落合南長崎駅 歩1分,西武新宿線/下落合駅 歩15分,西武池袋線/椎名町駅 歩15分,新築,9階建,7階,9.05万円,12000円,-/-/-/-,1K,26.1m
5222,都営大江戸線 落合南長崎駅 9階建 新築,賃貸マンション,東京都新宿区西落合１,都営大江戸線/落合南長崎駅 歩1分,西武新宿線/下落合駅 歩15分,西武池袋線/椎名町駅 歩15分,新築,9階建,7階,9.05万円,12000円,-/-/-/-,1K,26.1m
5223,モン・シャトー東中野,賃貸マンション,東京都新宿区北新宿４,ＪＲ中央線/東中野駅 歩5分,東京メトロ東西線/落合駅 歩9分,ＪＲ山手線/高田馬場駅 歩18分,築4年,9階建,3階,9.2万円,7000円,9.2万円/9.2万円/-/-,ワンルーム,26.04m
5224,クレイシア早稲田,賃貸マンション,東京都新宿区大久保２,東京メトロ副都心線/西早稲田駅 歩6分,都営大江戸線/東新宿駅 歩7分,ＪＲ山手線/新大久保駅 歩11分,築8年,5階建,3階,8.9万円,10000円,-/8.9万円/-/-,1K,25.96m
5225,都営大江戸線 落合南長崎駅 7階建 築6年,賃貸マンション,東京都新宿区西落合１,都営大江戸線/落合南長崎駅 歩5分,西武新宿線/新井薬師前駅 歩15分,西武新宿線/中井駅 歩17分,築6年,7階建,7階,9.1万円,8000円,9.1万円/-/-/-,1K,25.95m
5226,都営大江戸線 中野坂上駅 10階建 築8年,賃貸マンション,東京都新宿区北新宿１,都営大江戸線/中野坂上駅 歩7分,東京メトロ丸ノ内線/西新宿駅 歩6分,ＪＲ総武線/大久保駅 歩9分,築8年,10階建,5階,9.9万円,-,9.9万円/9.9万円/-/-,1K,25.34m
5227,都営大江戸線 中野坂上駅 10階建 築8年,賃貸マンション,東京都新宿区北新宿１,都営大江戸線/中野坂上駅 歩7分,東京メトロ丸ノ内線/西新宿駅 歩6分,ＪＲ総武線/大久保駅 歩9分,築8年,10階建,9階,11.3万円,-,11.3万円/11.3万円/-/-,1K,25.47m
5228,東京メトロ東西線 神楽坂駅 8階建 築7年,賃貸マンション,東京都新宿区山吹町,東京メトロ東西線/神楽坂駅 歩7分,東京メトロ東西線/早稲田駅 歩10分,東京メトロ有楽町線/江戸川橋駅 歩5分,築7年,8階建,6階,8.9万円,10000円,8.9万円/-/-/8.9万円,1K,25.36m
5229,東京メトロ東西線 神楽坂駅 8階建 築7年,賃貸マンション,東京都新宿区山吹町,東京メトロ東西線/神楽坂駅 歩7分,東京メトロ東西線/早稲田駅 歩10分,東京メトロ有楽町線/江戸川橋駅 歩5分,築7年,8階建,6階,8.95万円,10000円,-/-/8.95万円/8.95万円,1K,25.45m
