,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
2678,コーポ鳥海,賃貸マンション,東京都豊島区上池袋３,ＪＲ埼京線/板橋駅 歩7分,ＪＲ山手線/大塚駅 歩15分,東武東上線/北池袋駅 歩5分,築29年,3階建,2階,6.9万円,6000円,6.9万円/-/-/-,2K,35.07m
2679,ＪＲ埼京線 板橋駅 3階建 築29年,賃貸マンション,東京都豊島区上池袋３,ＪＲ埼京線/板橋駅 歩7分,ＪＲ山手線/大塚駅 歩15分,東武東上線/北池袋駅 歩5分,築29年,3階建,2階,6.9万円,6000円,6.9万円/-/-/-,2K,35.07m
2680,ＪＲ山手線 目白駅 2階建 築38年,賃貸アパート,東京都豊島区目白４,ＪＲ山手線/目白駅 歩8分,東京メトロ有楽町線/池袋駅 歩14分,西武池袋線/椎名町駅 歩7分,築38年,2階建,2階,7.5万円,-,15万円/7.5万円/-/-,1DK,33.4m
2681,フカヤマンション,賃貸マンション,東京都豊島区南長崎３,都営大江戸線/落合南長崎駅 歩10分,西武池袋線/椎名町駅 歩13分,西武新宿線/下落合駅 歩15分,築39年,4階建,2階,7.5万円,-,-/-/-/-,2DK,33m
2682,フカヤマンション,賃貸マンション,東京都豊島区南長崎３,都営大江戸線/落合南長崎駅 歩10分,西武池袋線/椎名町駅 歩13分,西武新宿線/下落合駅 歩15分,築39年,4階建,4階,7.5万円,-,7.5万円/-/-/-,1DK,32.4m
2683,西武池袋線 椎名町駅 2階建 築30年,賃貸アパート,東京都豊島区長崎３,西武池袋線/椎名町駅 歩8分,東京メトロ有楽町線/要町駅 歩15分,都営大江戸線/落合南長崎駅 歩16分,築30年,2階建,1階,7.5万円,-,7.5万円/7.5万円/-/-,2K,33m
2684,西武池袋線 椎名町駅 2階建 築30年,賃貸アパート,東京都豊島区長崎３,西武池袋線/椎名町駅 歩8分,東京メトロ有楽町線/要町駅 歩15分,都営大江戸線/落合南長崎駅 歩16分,築30年,2階建,2階,8万円,-,8万円/-/-/-,2K,33m
2685,シティーハイム健,賃貸アパート,東京都豊島区長崎３,西武池袋線/椎名町駅 歩8分,西武池袋線/東長崎駅 歩8分,東京メトロ有楽町線/要町駅 歩10分,築30年,2階建,1階,7.5万円,-,7.5万円/7.5万円/-/-,2K,33m
2686,平金ビル,賃貸マンション,東京都豊島区上池袋２,東武東上線/北池袋駅 歩9分,ＪＲ埼京線/池袋駅 歩16分,ＪＲ山手線/大塚駅 歩15分,築36年,3階建,3階,7.5万円,-,7.5万円/7.5万円/-/-,2K,31.4m
2687,加藤マンション,賃貸マンション,東京都豊島区池袋３,東京メトロ副都心線/池袋駅 歩9分,ＪＲ山手線/池袋駅 歩12分,東京メトロ丸ノ内線/池袋駅 歩10分,築30年,3階建,2階,7.5万円,-,7.5万円/-/-/-,1LDK,30.6m
