,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
11506,都営三田線 志村坂上駅 5階建 築30年,賃貸マンション,東京都板橋区前野町４,都営三田線/志村坂上駅 歩6分,東武東上線/ときわ台駅 歩21分,都営三田線/本蓮沼駅 歩12分,築30年,5階建,3階,8.9万円,5000円,8.9万円/-/-/-,2DK,40.23m
11507,ファミーユヌーベル,賃貸マンション,東京都板橋区栄町,東武東上線/大山駅 歩13分,都営三田線/板橋区役所前駅 歩13分,都営三田線/板橋本町駅 歩16分,築28年,5階建,2階,9.4万円,-,9.4万円/-/-/-,1LDK,40.56m
11508,ファミーユヌーベル,賃貸マンション,東京都板橋区栄町,東武東上線/大山駅 歩13分,都営三田線/板橋区役所前駅 歩13分,都営三田線/板橋本町駅 歩16分,築28年,5階建,5階,9.7万円,-,9.7万円/-/-/-,ワンルーム,40.56m
11509,レトア赤塚,賃貸アパート,東京都板橋区赤塚６,東京メトロ有楽町線/地下鉄赤塚駅 歩8分,東京メトロ副都心線/地下鉄赤塚駅 歩8分,東武東上線/下赤塚駅 歩7分,築20年,2階建,1階,9.1万円,3000円,9.1万円/9.1万円/-/-,2DK,40.5m
11510,メゾンユイ,賃貸マンション,東京都板橋区大山東町,東武東上線/大山駅 歩3分,都営三田線/板橋区役所前駅 歩8分,None,築30年,3階建,3階,9.3万円,1000円,9.3万円/9.3万円/-/-,2K,35.7m
11511,リバーレ双葉町,賃貸マンション,東京都板橋区双葉町,東武東上線/中板橋駅 歩3分,東武東上線/ときわ台駅 歩10分,都営三田線/板橋本町駅 歩14分,築30年,3階建,2階,8.9万円,5000円,8.9万円/-/-/-,1LDK,35.51m
11512,リバーレ双葉町,賃貸マンション,東京都板橋区双葉町,東武東上線/中板橋駅 歩3分,東武東上線/ときわ台駅 歩10分,都営三田線/板橋本町駅 歩14分,築30年,3階建,2階,8.9万円,6000円,8.9万円/-/-/-,1LDK,35.51m
11513,ウエストサイド中山道,賃貸マンション,東京都板橋区板橋１,都営三田線/新板橋駅 歩5分,東武東上線/下板橋駅 歩6分,ＪＲ埼京線/板橋駅 歩8分,築3年,14階建,2階,9万円,4000円,-/-/-/-,1K,29.44m
11514,ウエストサイド中山道,賃貸マンション,東京都板橋区板橋１,都営三田線/新板橋駅 歩5分,東武東上線/下板橋駅 歩6分,ＪＲ埼京線/板橋駅 歩8分,築3年,14階建,6階,9.5万円,4000円,-/-/-/-,1K,29.44m
11515,ウエストサイド中山道,賃貸マンション,東京都板橋区板橋１,都営三田線/新板橋駅 歩5分,東武東上線/下板橋駅 歩6分,ＪＲ埼京線/板橋駅 歩8分,築3年,14階建,2階,11.6万円,4000円,-/-/-/-,1DK,34.79m
11516,都営三田線 新板橋駅 14階建 築3年,賃貸マンション,東京都板橋区板橋１,都営三田線/新板橋駅 歩5分,ＪＲ埼京線/板橋駅 歩7分,東武東上線/下板橋駅 歩7分,築3年,14階建,2階,9万円,4000円,-/-/-/-,1K,29.44m
11517,都営三田線 新板橋駅 14階建 築3年,賃貸マンション,東京都板橋区板橋１,都営三田線/新板橋駅 歩5分,ＪＲ埼京線/板橋駅 歩7分,東武東上線/下板橋駅 歩7分,築3年,14階建,6階,9.5万円,4000円,-/-/-/-,1K,29.44m
11518,都営三田線 新板橋駅 14階建 築3年,賃貸マンション,東京都板橋区板橋１,都営三田線/新板橋駅 歩5分,ＪＲ埼京線/板橋駅 歩7分,東武東上線/下板橋駅 歩7分,築3年,14階建,2階,11.6万円,4000円,-/-/-/-,1DK,34.79m
11519,東武東上線 大山駅 6階建 築27年,賃貸マンション,東京都板橋区熊野町,東武東上線/大山駅 歩7分,都営三田線/板橋区役所前駅 歩14分,東武東上線/下板橋駅 歩14分,築27年,6階建,6階,8.5万円,9000円,8.5万円/8.5万円/-/-,1K,25.7m
11520,東武東上線 大山駅 6階建 築27年,賃貸マンション,東京都板橋区熊野町,東武東上線/大山駅 歩7分,都営三田線/板橋区役所前駅 歩14分,東武東上線/下板橋駅 歩14分,築27年,6階建,6階,8.8万円,9000円,8.8万円/8.8万円/-/-,ワンルーム,28.8m
