,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
523,ＪＲ総武線 両国駅 6階建 築30年,賃貸マンション,東京都墨田区両国４,ＪＲ総武線/両国駅 歩5分,都営大江戸線/両国駅 歩3分,都営新宿線/森下駅 歩9分,築30年,6階建,1階,6万円,4000円,6万円/6万円/-/-,ワンルーム,14.89m
524,ビィラージュ立花,賃貸アパート,東京都墨田区立花２,東武亀戸線/小村井駅 歩2分,ＪＲ総武線/亀戸駅 歩17分,東京メトロ半蔵門線/押上駅 歩20分,築19年,2階建,2階,6.2万円,2500円,6.2万円/-/-/-,1K,19.5m
525,京成押上線 京成曳舟駅 2階建 築44年,賃貸一戸建て,東京都墨田区八広３,京成押上線/京成曳舟駅 歩9分,京成押上線/八広駅 歩10分,東武亀戸線/小村井駅 歩12分,築44年,2階建,1-2階,6.5万円,-,6.5万円/6.5万円/-/-,1SDK,34m
526,八広3丁目戸建,賃貸一戸建て,東京都墨田区八広３,京成押上線/京成曳舟駅 歩9分,京成押上線/八広駅 歩10分,東武亀戸線/小村井駅 歩12分,築44年,2階建,1-2階,6.5万円,-,6.5万円/6.5万円/-/-,1SDK,34m
527,京成押上線 京成曳舟駅 2階建 築39年,賃貸一戸建て,東京都墨田区八広３,京成押上線/京成曳舟駅 歩9分,東武伊勢崎線/曳舟駅 歩13分,東武伊勢崎線/東向島駅 歩14分,築39年,2階建,1階,6.5万円,-,6.5万円/6.5万円/-/-,1DK,33m
528,第三川本ビル,賃貸マンション,東京都墨田区千歳３,都営大江戸線/森下駅 歩1分,ＪＲ総武線/両国駅 歩9分,東京メトロ半蔵門線/清澄白河駅 歩9分,築38年,5階建,3階,6.2万円,3000円,9.3万円/6.2万円/-/-,1K,23.73m
529,第三川本ビル,賃貸マンション,東京都墨田区千歳３,都営大江戸線/森下駅 歩1分,ＪＲ総武線/両国駅 歩9分,東京メトロ半蔵門線/清澄白河駅 歩9分,築38年,5階建,4階,6.9万円,3000円,10.35万円/6.9万円/-/-,2K,31.29m
530,第三川本ビル,賃貸マンション,東京都墨田区千歳３,都営大江戸線/森下駅 歩1分,ＪＲ総武線/両国駅 歩9分,東京メトロ半蔵門線/清澄白河駅 歩9分,築38年,5階建,3階,7万円,3000円,10.5万円/7万円/-/-,2DK,32m
531,第三川本ビル,賃貸マンション,東京都墨田区千歳３,都営大江戸線/森下駅 歩1分,ＪＲ総武線/両国駅 歩9分,東京メトロ半蔵門線/清澄白河駅 歩9分,築38年,5階建,4階,7.2万円,3000円,10.8万円/7.2万円/-/-,2K,32m
532,ＪＲ総武線 両国駅 5階建 築36年,賃貸マンション,東京都墨田区千歳３,ＪＲ総武線/両国駅 歩8分,都営新宿線/森下駅 歩2分,都営大江戸線/森下駅 歩1分,築36年,5階建,3階,6.2万円,3000円,9.3万円/6.2万円/-/-,1K,23.73m
533,ＪＲ総武線 両国駅 5階建 築36年,賃貸マンション,東京都墨田区千歳３,ＪＲ総武線/両国駅 歩8分,都営新宿線/森下駅 歩2分,都営大江戸線/森下駅 歩1分,築36年,5階建,4階,6.9万円,3000円,10.35万円/6.9万円/-/-,2K,31.35m
534,メゾン昭,賃貸マンション,東京都墨田区立川２,都営大江戸線/森下駅 歩5分,ＪＲ総武線/両国駅 歩13分,東京メトロ半蔵門線/清澄白河駅 歩14分,築36年,4階建,3階,6.2万円,3000円,6.2万円/6.2万円/-/-,2K,31m
535,都営大江戸線 森下駅 4階建 築36年,賃貸マンション,東京都墨田区立川２,都営大江戸線/森下駅 歩5分,東京メトロ半蔵門線/清澄白河駅 歩14分,ＪＲ総武線/両国駅 歩13分,築36年,4階建,3階,6.2万円,3000円,6.2万円/6.2万円/-/-,2K,31m
536,大谷ビル,賃貸マンション,東京都墨田区本所４,都営浅草線/本所吾妻橋駅 歩8分,ＪＲ総武線/錦糸町駅 歩15分,都営大江戸線/蔵前駅 歩15分,築44年,5階建,3階,6.3万円,2000円,6.3万円/-/-/6.3万円,2K,30.89m
537,カーサビアンカ,賃貸マンション,東京都墨田区太平４,ＪＲ総武線/錦糸町駅 歩8分,東京メトロ半蔵門線/押上駅 歩11分,ＪＲ総武線/亀戸駅 歩17分,築30年,7階建,2階,6万円,5000円,-/-/-/-,1K,19.44m
538,カーサビアンカ,賃貸マンション,東京都墨田区太平４,ＪＲ総武線/錦糸町駅 歩8分,東京メトロ半蔵門線/押上駅 歩11分,ＪＲ総武線/亀戸駅 歩17分,築30年,7階建,3階,7.5万円,7000円,-/-/-/-,1DK,29.16m
539,小林荘第１,賃貸アパート,東京都墨田区京島２,京成押上線/京成曳舟駅 歩7分,東武伊勢崎線/曳舟駅 歩10分,東京メトロ半蔵門線/押上駅 歩13分,築46年,2階建,2階,6.5万円,-,6.5万円/6.5万円/-/-,2K,29.1m
540,東武亀戸線 東あずま駅 3階建 築24年,賃貸マンション,東京都墨田区立花３,東武亀戸線/東あずま駅 歩5分,東京メトロ半蔵門線/押上駅 歩21分,ＪＲ総武線/平井駅 歩12分,築24年,3階建,3階,6.5万円,-,6.5万円/6.5万円/-/-,1DK,28.56m
541,京成押上線 京成曳舟駅 3階建 築31年,賃貸マンション,東京都墨田区八広２,京成押上線/京成曳舟駅 歩6分,東武伊勢崎線/曳舟駅 歩11分,東武伊勢崎線/東向島駅 歩14分,築31年,3階建,3階,6.2万円,3000円,6.2万円/6.2万円/-/-,ワンルーム,27.6m
542,マサフジコーポ,賃貸マンション,東京都墨田区向島５,東京メトロ半蔵門線/押上駅 歩10分,東武伊勢崎線/曳舟駅 歩6分,京成押上線/京成曳舟駅 歩10分,築45年,3階建,2階,6.3万円,2000円,12.6万円/6.3万円/-/-,1DK,26.4m
543,ＤＫビル,賃貸マンション,東京都墨田区江東橋１,ＪＲ総武線/錦糸町駅 歩8分,都営新宿線/住吉駅 歩12分,都営新宿線/菊川駅 歩12分,築30年,地下1地上12階建,9階,6万円,5000円,6万円/-/-/-,1K,15.84m
544,ＤＫビル,賃貸マンション,東京都墨田区江東橋１,ＪＲ総武線/錦糸町駅 歩8分,都営新宿線/住吉駅 歩12分,都営新宿線/菊川駅 歩12分,築30年,地下1地上12階建,5階,6.8万円,5000円,6.8万円/-/-/-,1K,26.06m
545,八広オーブハイツ,賃貸マンション,東京都墨田区八広６,京成押上線/八広駅 歩2分,東武伊勢崎線/東向島駅 歩13分,東武伊勢崎線/鐘ヶ淵駅 歩15分,築28年,3階建,2階,6.5万円,-,6.5万円/-/-/-,1DK,25.72m
