,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
1974,門前仲町リバーハイツ,賃貸マンション,東京都江東区牡丹３,東京メトロ東西線/門前仲町駅 歩6分,東京メトロ東西線/木場駅 歩7分,ＪＲ京葉線/越中島駅 歩12分,築37年,7階建,6階,7.6万円,2000円,7.6万円/7.6万円/-/-,1K,22m
1975,門前仲町リバーハイツ,賃貸マンション,東京都江東区牡丹３,東京メトロ東西線/門前仲町駅 歩6分,東京メトロ東西線/木場駅 歩7分,ＪＲ京葉線/越中島駅 歩12分,築37年,7階建,6階,7.8万円,2000円,7.8万円/7.8万円/-/-,1DK,22m
1976,東京メトロ東西線 門前仲町駅 7階建 築37年,賃貸マンション,東京都江東区牡丹３,東京メトロ東西線/門前仲町駅 歩6分,東京メトロ東西線/木場駅 歩7分,ＪＲ京葉線/越中島駅 歩12分,築37年,7階建,6階,7.6万円,2000円,7.6万円/7.6万円/-/-,1K,22m
1977,ＪＲ総武線 亀戸駅 4階建 築17年,賃貸マンション,東京都江東区亀戸５,ＪＲ総武線/亀戸駅 歩5分,東武亀戸線/亀戸水神駅 歩10分,都営新宿線/西大島駅 歩17分,築17年,4階建,2階,7.3万円,5000円,7.3万円/7.3万円/-/-,ワンルーム,21.84m
1978,ＪＲ総武線 亀戸駅 4階建 築17年,賃貸マンション,東京都江東区亀戸５,ＪＲ総武線/亀戸駅 歩5分,東武亀戸線/亀戸水神駅 歩10分,都営新宿線/西大島駅 歩17分,築17年,4階建,2階,7.3万円,5000円,7.3万円/-/-/-,ワンルーム,21.84m
1979,サンライズマンション平野,賃貸マンション,東京都江東区亀戸５,ＪＲ総武線/亀戸駅 歩5分,東武亀戸線/亀戸水神駅 歩7分,東京メトロ半蔵門線/錦糸町駅 歩15分,築17年,4階建,2階,7.3万円,5000円,7.3万円/7.3万円/-/-,ワンルーム,21.84m
1980,サンライズマンション平野,賃貸マンション,東京都江東区亀戸５,ＪＲ総武線/亀戸駅 歩5分,東武亀戸線/亀戸水神駅 歩7分,東京メトロ半蔵門線/錦糸町駅 歩15分,築17年,4階建,2階,7.3万円,5000円,7.3万円/7.3万円/-/-,ワンルーム,21.84m
1981,スタープラチナＡｒｃ木場,賃貸マンション,東京都江東区木場６,東京メトロ東西線/木場駅 歩4分,None,None,新築,5階建,1階,7.5万円,3000円,7.5万円/7.5万円/-/-,ワンルーム,18.36m
1982,スタープラチナＡｒｃ木場,賃貸マンション,東京都江東区木場６,東京メトロ東西線/木場駅 歩4分,None,None,新築,5階建,3階,7.7万円,3000円,7.7万円/7.7万円/-/-,ワンルーム,18.35m
1983,スタープラチナＡｒｃ木場,賃貸マンション,東京都江東区木場６,東京メトロ東西線/木場駅 歩4分,None,None,新築,5階建,2階,7.7万円,3000円,7.7万円/7.7万円/-/-,ワンルーム,18.35m
1984,スタープラチナＡｒｃ木場,賃貸マンション,東京都江東区木場６,東京メトロ東西線/木場駅 歩4分,None,None,新築,5階建,1階,8.2万円,3000円,8.2万円/8.2万円/-/8.2万円,ワンルーム,20.91m
1985,スタープラチナＡｒｃ木場,賃貸マンション,東京都江東区木場６,東京メトロ東西線/木場駅 歩4分,None,None,新築,5階建,4階,8.2万円,3000円,8.2万円/8.2万円/-/8.2万円,ワンルーム,18.11m
1986,スタープラチナＡｒｃ木場,賃貸マンション,東京都江東区木場６,東京メトロ東西線/木場駅 歩4分,None,None,新築,5階建,2階,8.2万円,3000円,8.2万円/8.2万円/-/-,ワンルーム,18.11m
1987,スタープラチナＡｒｃ木場,賃貸マンション,東京都江東区木場６,東京メトロ東西線/木場駅 歩4分,None,None,新築,5階建,3階,8.2万円,3000円,8.2万円/8.2万円/-/8.2万円,ワンルーム,18.11m
1988,プレール・ドゥーク亀戸III,賃貸マンション,東京都江東区亀戸６,ＪＲ総武線/亀戸駅 歩7分,東武亀戸線/亀戸水神駅 歩8分,都営新宿線/大島駅 歩12分,築10年,7階建,7階,7万円,8000円,7万円/7万円/-/-,1K,20.8m
1989,ＪＲ総武線 亀戸駅 7階建 築10年,賃貸マンション,東京都江東区亀戸６,ＪＲ総武線/亀戸駅 歩7分,東武亀戸線/亀戸水神駅 歩8分,都営新宿線/大島駅 歩11分,築10年,7階建,7階,7万円,8000円,7万円/7万円/-/-,1K,20.8m
1990,ＪＲ総武線 亀戸駅 7階建 築10年,賃貸マンション,東京都江東区亀戸６,ＪＲ総武線/亀戸駅 歩7分,東武亀戸線/亀戸水神駅 歩8分,都営新宿線/大島駅 歩11分,築10年,7階建,2階,8.6万円,10500円,-/8.6万円/-/-,1K,20.8m
1991,オールドストーンプレイス,賃貸マンション,東京都江東区古石場３,東京メトロ東西線/門前仲町駅 歩8分,東京メトロ東西線/木場駅 歩8分,ＪＲ京葉線/越中島駅 歩10分,築14年,4階建,1階,7.5万円,3000円,7.5万円/7.5万円/-/-,ワンルーム,20m
1992,東京メトロ東西線 木場駅 4階建 築14年,賃貸マンション,東京都江東区古石場３,東京メトロ東西線/木場駅 歩8分,ＪＲ京葉線/越中島駅 歩11分,東京メトロ東西線/門前仲町駅 歩8分,築14年,4階建,1階,7.5万円,3000円,7.5万円/7.5万円/-/-,ワンルーム,20m
1993,住吉大経レジデンス,賃貸マンション,東京都江東区住吉１,東京メトロ半蔵門線/住吉駅 歩6分,都営新宿線/住吉駅 歩6分,None,築6年,3階建,3階,7.5万円,3000円,7.5万円/7.5万円/-/-,1K,18.63m
1994,住吉大経レジデンス,賃貸マンション,東京都江東区住吉１,東京メトロ半蔵門線/住吉駅 歩6分,都営新宿線/住吉駅 歩6分,None,築6年,3階建,3階,7.6万円,3000円,7.6万円/7.6万円/-/-,1K,18.63m
1995,LIBERTY PALACE,賃貸マンション,東京都江東区富岡１,東京メトロ東西線/門前仲町駅 歩2分,都営大江戸線/門前仲町駅 歩4分,ＪＲ京葉線/越中島駅 歩10分,築24年,3階建,2階,7.8万円,-,7.8万円/7.8万円/-/7.8万円,1K,18.48m
1996,LIBERTY PALACE,賃貸マンション,東京都江東区富岡１,東京メトロ東西線/門前仲町駅 歩2分,都営大江戸線/門前仲町駅 歩4分,ＪＲ京葉線/越中島駅 歩10分,築24年,3階建,3階,8万円,-,8万円/8万円/-/8万円,1K,18.12m
1997,ペルファヴォーレIIWATANABE,賃貸マンション,東京都江東区亀戸７,東武亀戸線/亀戸水神駅 歩6分,ＪＲ総武線/亀戸駅 歩13分,都営新宿線/大島駅 歩13分,築28年,3階建,2階,7.5万円,3000円,7.5万円/-/-/-,ワンルーム,18m
